ID,Movie Name,Genre,IMDb Link,Director,IMDb Rating
1,The Godfather,Drama,https://www.imdb.com/find?q=The+Godfather,Francis Ford Coppola,
2,The Shawshank Redemption,Sci-Fi,https://www.imdb.com/find?q=The+Shawshank+Redemption,Frank Darabont,
3,The Dark Knight,Drama,https://www.imdb.com/find?q=The+Dark+Knight,Christopher Nolan,
4,Pulp Fiction,Drama,https://www.imdb.com/find?q=Pulp+Fiction,Quentin Tarantino,
5,Fight Club,Drama,https://www.imdb.com/find?q=Fight+Club,David Fincher,
6,Forrest Gump,Animation,https://www.imdb.com/find?q=Forrest+Gump,Robert Zemeckis,
7,Inception,Thriller,https://www.imdb.com/find?q=Inception,Christopher Nolan,
8,Interstellar,Animation,https://www.imdb.com/find?q=Interstellar,Christopher Nolan,
9,The Matrix,Action,https://www.imdb.com/find?q=The+Matrix,The Wachowskis,
10,Titanic,Action,https://www.imdb.com/find?q=Titanic,James Cameron,
11,Goodfellas,Comedy,https://www.imdb.com/find?q=Goodfellas,Martin Scorsese,
12,The Silence of the Lambs,Romance,https://www.imdb.com/find?q=The+Silence+of+the+Lambs,Jonathan Demme,
13,Seven,Romance,https://www.imdb.com/find?q=Seven,David Fincher,
14,Gladiator,Action,https://www.imdb.com/find?q=Gladiator,Ridley Scott,
15,The Departed,Thriller,https://www.imdb.com/find?q=The+Departed,Martin Scorsese,
16,The Prestige,Drama,https://www.imdb.com/find?q=The+Prestige,Christopher Nolan,
17,Memento,Thriller,https://www.imdb.com/find?q=Memento,Christopher Nolan,
18,Dunkirk,Animation,https://www.imdb.com/find?q=Dunkirk,Christopher Nolan,
19,The Social Network,Comedy,https://www.imdb.com/find?q=The+Social+Network,David Fincher,
20,The Wolf of Wall Street,Drama,https://www.imdb.com/find?q=The+Wolf+of+Wall+Street,Martin Scorsese,
21,Avatar,Sci-Fi,https://www.imdb.com/find?q=Avatar,James Cameron,
22,Avengers: Endgame,Comedy,https://www.imdb.com/find?q=Avengers%3A+Endgame,"Anthony Russo, Joe Russo",
23,Avengers: Infinity War,Comedy,https://www.imdb.com/find?q=Avengers%3A+Infinity+War,"Anthony Russo, Joe Russo",
24,Iron Man,Thriller,https://www.imdb.com/find?q=Iron+Man,Jon Favreau,
25,Iron Man 2,Sci-Fi,https://www.imdb.com/find?q=Iron+Man+2,Jon Favreau,
26,Iron Man 3,Thriller,https://www.imdb.com/find?q=Iron+Man+3,,
27,Captain America: Civil War,Comedy,https://www.imdb.com/find?q=Captain+America%3A+Civil+War,,
28,Captain America: The Winter Soldier,Sci-Fi,https://www.imdb.com/find?q=Captain+America%3A+The+Winter+Soldier,,
29,Captain America: The First Avenger,Sci-Fi,https://www.imdb.com/find?q=Captain+America%3A+The+First+Avenger,,
30,Black Panther,Comedy,https://www.imdb.com/find?q=Black+Panther,,
31,Doctor Strange,Drama,https://www.imdb.com/find?q=Doctor+Strange,,
32,Thor,Action,https://www.imdb.com/find?q=Thor,,
33,Thor: Ragnarok,Comedy,https://www.imdb.com/find?q=Thor%3A+Ragnarok,,
34,Thor: The Dark World,Animation,https://www.imdb.com/find?q=Thor%3A+The+Dark+World,,
35,Ant-Man,Thriller,https://www.imdb.com/find?q=Ant-Man,,
36,Ant-Man and the Wasp,Drama,https://www.imdb.com/find?q=Ant-Man+and+the+Wasp,,
37,Guardians of the Galaxy,Sci-Fi,https://www.imdb.com/find?q=Guardians+of+the+Galaxy,,
38,Guardians of the Galaxy Vol. 2,Romance,https://www.imdb.com/find?q=Guardians+of+the+Galaxy+Vol.+2,,
39,Spider-Man: Homecoming,Romance,https://www.imdb.com/find?q=Spider-Man%3A+Homecoming,,
40,Spider-Man: Far From Home,Drama,https://www.imdb.com/find?q=Spider-Man%3A+Far+From+Home,,
41,Spider-Man: No Way Home,Romance,https://www.imdb.com/find?q=Spider-Man%3A+No+Way+Home,,
42,The Godfather,Animation,https://www.imdb.com/find?q=The+Godfather,Francis Ford Coppola,
43,The Shawshank Redemption,Drama,https://www.imdb.com/find?q=The+Shawshank+Redemption,Frank Darabont,
44,The Dark Knight,Action,https://www.imdb.com/find?q=The+Dark+Knight,Christopher Nolan,
45,Pulp Fiction,Animation,https://www.imdb.com/find?q=Pulp+Fiction,Quentin Tarantino,
46,Fight Club,Sci-Fi,https://www.imdb.com/find?q=Fight+Club,David Fincher,
47,Forrest Gump,Thriller,https://www.imdb.com/find?q=Forrest+Gump,Robert Zemeckis,
48,Inception,Drama,https://www.imdb.com/find?q=Inception,Christopher Nolan,
49,Interstellar,Animation,https://www.imdb.com/find?q=Interstellar,Christopher Nolan,
50,The Matrix,Comedy,https://www.imdb.com/find?q=The+Matrix,The Wachowskis,
51,Titanic,Sci-Fi,https://www.imdb.com/find?q=Titanic,James Cameron,
52,Goodfellas,Action,https://www.imdb.com/find?q=Goodfellas,Martin Scorsese,
53,The Silence of the Lambs,Romance,https://www.imdb.com/find?q=The+Silence+of+the+Lambs,Jonathan Demme,
54,Seven,Drama,https://www.imdb.com/find?q=Seven,David Fincher,
55,Gladiator,Animation,https://www.imdb.com/find?q=Gladiator,Ridley Scott,
56,The Departed,Romance,https://www.imdb.com/find?q=The+Departed,Martin Scorsese,
57,The Prestige,Sci-Fi,https://www.imdb.com/find?q=The+Prestige,Christopher Nolan,
58,Memento,Thriller,https://www.imdb.com/find?q=Memento,Christopher Nolan,
59,Dunkirk,Comedy,https://www.imdb.com/find?q=Dunkirk,Christopher Nolan,
60,The Social Network,Romance,https://www.imdb.com/find?q=The+Social+Network,David Fincher,
61,The Wolf of Wall Street,Animation,https://www.imdb.com/find?q=The+Wolf+of+Wall+Street,Martin Scorsese,
62,Avatar,Sci-Fi,https://www.imdb.com/find?q=Avatar,James Cameron,
63,Avengers: Endgame,Comedy,https://www.imdb.com/find?q=Avengers%3A+Endgame,"Anthony Russo, Joe Russo",
64,Avengers: Infinity War,Sci-Fi,https://www.imdb.com/find?q=Avengers%3A+Infinity+War,"Anthony Russo, Joe Russo",
65,Iron Man,Thriller,https://www.imdb.com/find?q=Iron+Man,Jon Favreau,
66,Iron Man 2,Comedy,https://www.imdb.com/find?q=Iron+Man+2,Jon Favreau,
67,Iron Man 3,Romance,https://www.imdb.com/find?q=Iron+Man+3,,
68,Captain America: Civil War,Drama,https://www.imdb.com/find?q=Captain+America%3A+Civil+War,,
69,Captain America: The Winter Soldier,Thriller,https://www.imdb.com/find?q=Captain+America%3A+The+Winter+Soldier,,
70,Captain America: The First Avenger,Romance,https://www.imdb.com/find?q=Captain+America%3A+The+First+Avenger,,
71,Black Panther,Animation,https://www.imdb.com/find?q=Black+Panther,,
72,Doctor Strange,Thriller,https://www.imdb.com/find?q=Doctor+Strange,,
73,Thor,Comedy,https://www.imdb.com/find?q=Thor,,
74,Thor: Ragnarok,Animation,https://www.imdb.com/find?q=Thor%3A+Ragnarok,,
75,Thor: The Dark World,Thriller,https://www.imdb.com/find?q=Thor%3A+The+Dark+World,,
76,Ant-Man,Animation,https://www.imdb.com/find?q=Ant-Man,,
77,Ant-Man and the Wasp,Sci-Fi,https://www.imdb.com/find?q=Ant-Man+and+the+Wasp,,
78,Guardians of the Galaxy,Action,https://www.imdb.com/find?q=Guardians+of+the+Galaxy,,
